name,phone,address,gender,student_id,email
Cassidy Allen,(612)245-6174x05709,"843 Schmitt Trail, East Brandonland, NM 74306",female,ca623,ca623@upc.edu
Samantha Campbell,+1-814-446-6164x6453,"92122 April Estate Suite 971, Codyshire, NM 30659",female,sc598,sc598@upc.edu
William Harrison,+1-611-396-0698x1532,"73409 Pearson Drive Suite 887, West Heatherville, DE 26167",male,wh949,wh949@upc.edu
Nancy Cortez,247.918.1248x1311,"381 Cooley Roads Apt. 179, East Yvonne, NE 41176",female,nc171,nc171@upc.edu
Andrew Hodges,(499)618-8131,"03272 Michael Run, Petersontown, WA 24824",male,ah117,ah117@upc.edu
Margaret Keller,001-740-517-5615,"166 James Rapid, Port Joseph, DC 14666",female,mk710,mk710@upc.edu
Barbara Garcia,+1-994-435-2725x162,"5493 Cunningham Ports, New Nathanielfurt, NY 38334",female,bg343,bg343@upc.edu
Jaclyn Schmidt,3634752526,"4960 Meagan Pike, Foxtown, DC 54237",female,js623,js623@upc.edu
Christopher Gonzales,916-398-0361x327,"61109 Salazar Knoll Apt. 201, Jillstad, MT 81122",male,cg964,cg964@upc.edu
Shari Wolf,(621)397-2964,"Unit 5702 Box 0684, DPO AA 82531",female,sw409,sw409@upc.edu
Shannon Esparza,(914)255-3171x1329,"68979 Mcgee Manors, New Brooketon, MT 90499",female,se971,se971@upc.edu
Brittney Torres,945-754-2004,"35085 Davis Skyway Suite 929, Fosterbury, GA 40879",female,bt482,bt482@upc.edu
James Buchanan,913.902.6899,"842 Brent Squares Suite 924, Jasonshire, DE 18185",male,jb615,jb615@upc.edu
Jason Patel,497-859-4655x302,"64221 Edward Coves, Port Sandra, VT 85819",male,jp260,jp260@upc.edu
Keith Sanchez,+1-454-800-3710x03842,"26681 John Prairie Apt. 253, Patrickchester, PA 98399",male,ks662,ks662@upc.edu
Steven Watson,(556)781-2374,"17981 Rachel Roads, Lambstad, AZ 87543",male,sw631,sw631@upc.edu
Craig Wood,602-213-9888,"7859 Sean Bypass Apt. 896, West Shelleyside, RI 29305",male,cw612,cw612@upc.edu
Courtney Rodriguez,(484)666-1991x460,"81740 Mitchell Valley Suite 777, Floreschester, WV 35893",female,cr521,cr521@upc.edu
Mark Turner,001-971-648-9026x2712,"87949 Justin Track Suite 320, North Frederick, MP 56839",male,mt127,mt127@upc.edu
Julia Harper,626.576.0586x9256,"610 Mandy Common, Lake Adam, SD 33502",female,jh104,jh104@upc.edu
James Garcia,(253)532-2220x928,"3330 Sandra Hills Suite 323, Port Jenniferburgh, DC 43595",male,jg934,jg934@upc.edu
Roy Banks,+1-203-440-4251x2130,"061 Adam Canyon Suite 316, Marshside, TN 64988",male,rb876,rb876@upc.edu
John Chambers,001-730-718-5630x79690,"USNV Harper, FPO AA 53836",male,jc656,jc656@upc.edu
Mary Barker,+1-562-825-5153,"22923 Matthew Expressway, Port Meganbury, IN 31929",female,mb587,mb587@upc.edu
Jessica Roach,5657602463,"PSC 9200, Box 9593, APO AE 11614",female,jr186,jr186@upc.edu
Aaron Graham,342-472-7246x471,"423 Jeffrey Station Apt. 783, North Janice, ME 09451",male,ag482,ag482@upc.edu
Christine White,001-847-262-2056x13430,"316 Sean Route Suite 966, East Jamiemouth, OH 03184",female,cw812,cw812@upc.edu
Jason Hale,203-969-6372x73334,"94067 Cook Stream Suite 806, New Cheryl, SC 40295",male,jh163,jh163@upc.edu
Julie Oliver,+1-813-737-6653x75705,"0456 Jimenez Mall, Burgesschester, NM 86265",female,jo413,jo413@upc.edu
Ricardo Gutierrez,811-314-4191x805,"092 Samantha Gardens, West Cherylburgh, AR 22967",male,rg911,rg911@upc.edu
Shane Doyle,(886)275-0585x11005,"116 Holly Mountain, Jacobport, HI 38704",male,sd723,sd723@upc.edu
Michael Simmons,+1-472-873-8095x2055,"48874 Sullivan Greens Suite 469, Port Manuelborough, WY 60348",male,ms667,ms667@upc.edu
Victoria Moore,(857)413-7579x810,"32877 Samantha Parks, Hensonfort, PR 57815",female,vm954,vm954@upc.edu
Kimberly Bennett,760.745.2519x593,"2885 Thompson Alley Apt. 096, Carolport, MT 38597",female,kb547,kb547@upc.edu
Bruce Lynn,(830)501-0933,"46565 Albert Island, Port Kayla, IA 08534",male,bl912,bl912@upc.edu
Jennifer Howard,649.999.6736,"90447 Jerry Throughway, East Dominique, FL 39729",female,jh736,jh736@upc.edu
Russell Gibson,001-245-966-5329x4551,"18362 Rich Street Apt. 584, Gravesfurt, AK 32941",male,rg505,rg505@upc.edu
Chase Martinez,285-317-2505,"1621 Kayla Mountain Apt. 426, East Victorland, OH 88223",male,cm158,cm158@upc.edu
Lori King,846-975-8454x031,"23270 Hunt Place, New Amanda, MS 56216",female,lk708,lk708@upc.edu
Carla Herman,(736)679-8665x129,"17269 Garcia Parkways, Barrerastad, TX 35576",female,ch575,ch575@upc.edu
Rachel Meyer,+1-872-362-2153,"6664 Martin Tunnel Apt. 228, Edwardside, OH 80872",female,rm615,rm615@upc.edu
Stephen Rivera,(819)385-0057x6516,"67530 Dean Prairie, Williamsview, NY 85182",male,sr893,sr893@upc.edu
Elizabeth Gibson,855-733-5943,"Unit 9330 Box 2072, DPO AP 71385",female,eg473,eg473@upc.edu
Margaret Weiss,672.286.5564x455,"234 Anthony Inlet Suite 001, Morganview, AS 34212",female,mw329,mw329@upc.edu
Jeremy Jordan,780-711-8763,"360 Gerald Spurs, South Christinashire, FM 31260",male,jj881,jj881@upc.edu
Tiffany Davenport,001-838-569-6919x43736,"01579 Flynn View Suite 990, Kyleshire, VA 03695",female,td506,td506@upc.edu
Christopher Williams,595-861-4297x828,"1442 Ramirez Track, Paulfort, NV 58261",male,cw195,cw195@upc.edu
Billy Rios,700.937.5932x073,"2857 Mary Loop, Stevensfurt, NH 26387",male,br132,br132@upc.edu
Kelly Caldwell,(329)331-9357,"99491 Todd Isle Apt. 343, North Alexis, IA 33115",female,kc383,kc383@upc.edu
Edward Brown,436-985-2333x40273,"102 Smith Road Apt. 115, West Christopherland, DE 66288",male,eb869,eb869@upc.edu
Shawn Morrow,792-626-2323x981,"44453 Lynn Walks Suite 432, South Jeffreymouth, ND 51729",male,sm473,sm473@upc.edu
Deborah Phillips,001-599-548-3159x654,"6466 Nicholas Village, East Calebmouth, NC 40906",female,dp947,dp947@upc.edu
Caitlin Allison,526.363.5558x28665,"4994 Samuel Dale Apt. 509, North Joshua, NM 45159",female,ca858,ca858@upc.edu
Diane Hinton,853.735.2037x584,"642 Hicks Flats, Davidview, NH 97690",female,dh369,dh369@upc.edu
Ashley Nguyen,(312)640-7197x5673,"922 Jones Street Suite 105, Charleston, VI 57750",female,an860,an860@upc.edu
Jamie Adams,385.702.2950,"14107 Johnston Shoal, Millermouth, WI 03550",female,ja195,ja195@upc.edu
Elizabeth Harris,001-482-386-8586x7225,"7137 Oconnor Station Suite 800, Lake Holly, MS 06306",female,eh935,eh935@upc.edu
Kayla Schwartz,823-734-7476x81680,"688 Patrick Ports, North Aaron, AL 37346",female,ks955,ks955@upc.edu
Alexis Lawrence,001-991-899-3268x03110,"0750 Hunter Stream Apt. 977, Freemanside, WA 17073",female,al898,al898@upc.edu
Brandon Haynes,462-962-0355,"05074 Adam Lane, Port Rebecca, NY 43181",male,bh554,bh554@upc.edu
Deanna Henry,+1-796-522-4881,"7019 Natalie Station, Jamesmouth, FL 50409",female,dh490,dh490@upc.edu
Thomas Harvey,001-782-732-6215,"808 Reed Lake, North Edwardshire, IA 30919",male,th128,th128@upc.edu
Tonya Smith,+1-887-200-4905x586,"USCGC Newman, FPO AE 03508",female,ts920,ts920@upc.edu
Eric Sandoval,001-715-696-2316x848,"4494 Fisher Green, Walterhaven, MP 73834",male,es795,es795@upc.edu
Tina Hernandez,+1-206-666-9716x64504,"2073 Angelica Row Suite 486, West Patrickborough, MS 50644",female,th422,th422@upc.edu
Kathleen Carter,(332)639-5743,"254 John Ridges, East Sharon, MN 89168",female,kc981,kc981@upc.edu
Alexa Guerrero,001-720-364-7547x9059,"826 Fernandez Shore, Mejiafort, IL 92654",female,ag830,ag830@upc.edu
Jose Gibbs,(978)539-6379x60062,"92106 Diana Fields Suite 720, Fergusonton, IA 92959",male,jg746,jg746@upc.edu
Michelle Lamb,975-867-8685,"373 Richards Freeway Apt. 715, Lake Jo, FL 83130",female,ml556,ml556@upc.edu
Anthony Friedman,001-707-310-1551x85981,"USNS Murphy, FPO AP 39257",male,af165,af165@upc.edu
Nicole Powell,815.728.7027,"810 Kristina Burgs Suite 429, Reynoldston, MI 03453",female,np984,np984@upc.edu
Anthony Carter,781.807.5515x60039,"939 Corey Glen, Mendezport, FM 28876",male,ac429,ac429@upc.edu
Christopher Williams,(530)832-3318,"45396 Parker Fork, Bishopmouth, KS 92985",male,cw111,cw111@upc.edu
Brian Logan,6728074982,"29816 Nicholas Haven Suite 233, Wheelerstad, AK 83286",male,bl124,bl124@upc.edu
Andrew Vargas,386-692-6139x8271,"857 Murray Ports Apt. 070, Farmerton, OH 56377",male,av108,av108@upc.edu
Amy Molina,557.762.6095,"574 Robinson Port Apt. 861, Sotoport, WI 92464",female,am429,am429@upc.edu
Thomas Brown,001-479-832-6080x5895,"08793 Michelle Run, West Davidfort, MH 97472",male,tb260,tb260@upc.edu
Heather Wood,680.709.2057,"56470 Edward Cape Apt. 631, Sandersborough, CO 01468",female,hw801,hw801@upc.edu
Bonnie West,001-529-743-0306x19368,"46300 Smith Union, Port Tracybury, MT 28028",female,bw260,bw260@upc.edu
Leslie Zhang,+1-972-494-8205,"7019 Key Spring Suite 897, Michaelbury, LA 12892",female,lz626,lz626@upc.edu
Anna Anderson,+1-222-664-0956x205,"PSC 2334, Box 2823, APO AA 32334",female,aa863,aa863@upc.edu
Matthew Moore,285-569-6926x955,"Unit 5705 Box 3557, DPO AE 54122",male,mm241,mm241@upc.edu
Janet Norton,955.603.2730x554,"73988 Perez Underpass Suite 243, Michaeltown, MH 66218",female,jn366,jn366@upc.edu
David Lewis,830-337-3522x0429,"29456 Stephens Squares Apt. 818, Johnsonmouth, MH 95512",male,dl532,dl532@upc.edu
George Carter,(356)508-9443x405,"2936 Reyes Skyway Suite 704, Stephensonton, DC 19905",male,gc332,gc332@upc.edu
Brian Obrien,(302)944-4622x095,"3052 Ricky Vista, Darylville, TN 28484",male,bo375,bo375@upc.edu
Samantha Logan,9622644497,"300 Anderson Via, Port Stanley, MI 14958",female,sl574,sl574@upc.edu
Pamela Brooks,2346206298,"9833 Davis Harbors Suite 143, East Howardshire, NC 86781",female,pb985,pb985@upc.edu
Raymond Christensen,346-772-7769x05912,"20908 Taylor Inlet Suite 013, Schmidthaven, VA 91399",male,rc370,rc370@upc.edu
Elizabeth Buckley,484.985.0923x784,"454 Whitney Ridges Suite 053, Lake Sarahborough, GA 35258",female,eb207,eb207@upc.edu
Sheila Ellis,395.945.6846,"32363 Salas Heights, New Eugeneville, IA 22927",female,se543,se543@upc.edu
Tiffany Carpenter,001-303-454-7661x54028,"605 Zavala Grove Apt. 278, Zunigafurt, VT 83215",female,tc945,tc945@upc.edu
Lori Williams,+1-710-658-9084x132,"77409 James Fords Suite 429, West Daniellechester, IN 53457",female,lw890,lw890@upc.edu
Susan Miller,001-740-588-6474x53019,"PSC 4120, Box 0122, APO AE 94653",female,sm458,sm458@upc.edu
Amanda Carr,+1-649-867-0160x8546,"95422 Madison Spring Suite 872, North Mariaton, CA 40376",female,ac277,ac277@upc.edu
Andres Schaefer,001-404-211-6462x655,"PSC 1957, Box 6918, APO AE 84312",male,as874,as874@upc.edu
Amanda Camacho,+1-287-983-0276x6335,"Unit 8966 Box 9272, DPO AE 59940",female,ac981,ac981@upc.edu
Erin Carter,(506)309-8669,"9306 Hart Keys, Georgebury, KS 85467",female,ec901,ec901@upc.edu
James Moore,(613)732-7770,"43190 Gaines Estate Suite 689, Raymondside, VT 33095",male,jm982,jm982@upc.edu
Anthony Braun,489-921-3060x120,"14592 Rodriguez Court, Barnettstad, HI 29307",male,ab665,ab665@upc.edu
Emily Watson,(527)234-7946x4991,"950 Tami Valley Apt. 806, East Patrickmouth, DC 62840",female,ew932,ew932@upc.edu
Robert Holt,(521)481-9068,"24543 Joseph Views Apt. 543, Campbellberg, AK 22823",male,rh433,rh433@upc.edu
Carrie Sanchez,(842)285-7415,"5223 Chen Gateway, Lake Denise, MH 77172",female,cs370,cs370@upc.edu
Gabriela Smith,604.371.6893,"3641 Delgado Corners Suite 787, Rebeccaborough, OH 84284",female,gs692,gs692@upc.edu
Ryan Mills,633.344.0713x61094,"13994 Smith Coves Apt. 784, New Nicolechester, WV 66581",male,rm423,rm423@upc.edu
Maria Ross,693.288.4618,"134 Tony Brook Suite 405, Port Nicholas, MA 16720",female,mr625,mr625@upc.edu
Marvin Castillo,001-598-293-3377x655,"6390 Ronald Bypass Suite 591, Powersland, NM 34867",male,mc462,mc462@upc.edu
Gerald Gutierrez,001-519-827-3016,"33573 Benton Lake Suite 381, West Christopher, NH 80930",male,gg728,gg728@upc.edu
Bradley Bender,715-784-1213,"17389 Carla Parkways, Ashleymouth, NY 20890",male,bb601,bb601@upc.edu
Kristi Campbell,+1-892-627-4855x210,"77955 Ashley Valley, Gibsonberg, WI 34155",female,kc948,kc948@upc.edu
Jeremy Ramos,+1-408-563-3638x8205,"7267 Jesus Drives Apt. 104, Markside, DE 25847",male,jr471,jr471@upc.edu
Shawn Patrick,325-224-0980,"19029 Adam Rest, Lake Malikport, VT 97536",male,sp701,sp701@upc.edu
Jeremy White,820.414.7402x02288,"5211 Scott Squares Apt. 523, North Rachelstad, CA 60482",male,jw748,jw748@upc.edu
Leslie Wallace,+1-241-337-2382x52375,"4761 Hopkins Throughway Apt. 544, Mcbrideburgh, GA 23352",female,lw978,lw978@upc.edu
Brenda Maldonado,001-897-314-4420x704,"3872 Evan Centers Suite 516, Foxhaven, MS 26654",female,bm170,bm170@upc.edu
Justin Mason,3344869580,"22599 Amy Green Apt. 052, South David, NM 54446",male,jm350,jm350@upc.edu
Robert Parks,727.889.4538x24729,"54648 Castro Overpass Suite 406, Lisafort, IL 71872",male,rp555,rp555@upc.edu
Michael Morrow,001-810-948-4317x9631,"91474 Scott Plaza Suite 928, Lake Luis, NC 06808",male,mm529,mm529@upc.edu
Nicole Campbell,(559)469-4087x3984,"91175 Garner Park, South Lauren, FM 27411",female,nc150,nc150@upc.edu
Holly Case,001-265-416-5052x26338,"17472 Dominique Isle, Sethbury, IN 29357",female,hc408,hc408@upc.edu
David Hernandez,(209)974-0904x8790,"56505 Harris Valleys, South Maryview, PW 74231",male,dh881,dh881@upc.edu
Taylor Dominguez,481.346.7296,"646 Robert Islands Suite 619, Brittanymouth, ND 86765",female,td598,td598@upc.edu
Kaitlyn Smith,(366)399-0933x61084,"1533 Brian Circles, West Isaacberg, VT 43165",female,ks108,ks108@upc.edu
Joe Trevino,001-315-404-7477x5242,"72024 Mendoza Flats, New Wayneville, OH 61875",male,jt854,jt854@upc.edu
Jacob Ayala,7229659448,"0631 Owen Squares Suite 938, Victorville, AZ 64406",male,ja653,ja653@upc.edu
Lisa Torres,959.844.6221x87523,"281 James Pike, West Jessica, MO 77055",female,lt780,lt780@upc.edu
Kathleen Mack,+1-766-380-4579x50263,"91026 Quinn Pine Apt. 124, East Edward, IN 55184",female,km731,km731@upc.edu
Courtney Richard,638.766.7335x7600,"PSC 8801, Box 6025, APO AP 00796",female,cr215,cr215@upc.edu
Jennifer Steele,001-345-504-4871x4136,"1447 Mathews Trail Suite 657, Isaiahfort, PA 58087",female,js891,js891@upc.edu
Jennifer Strickland,6557603326,"Unit 8737 Box 8781, DPO AA 45510",female,js354,js354@upc.edu
Linda Black,001-559-739-1290x272,"5783 Monica Points, Norrisville, CO 56138",female,lb211,lb211@upc.edu
Eric Brennan,406-886-6696x02630,"63770 William Springs Apt. 696, Grimesbury, MD 08090",male,eb502,eb502@upc.edu
John Kerr,(867)301-5900x934,"89899 David Gateway, Kimberlyport, NV 81594",male,jk288,jk288@upc.edu
Ashley West,889-496-4911,"750 Adams Light Apt. 332, Newmanville, ID 11150",female,aw429,aw429@upc.edu
Alejandra Yoder,360.855.4316,"20401 Santiago Road Suite 336, New Leahberg, GA 68968",female,ay190,ay190@upc.edu
Susan Massey,001-843-841-0651x036,"5277 Ramirez Mall, North Jeanhaven, FL 71648",female,sm504,sm504@upc.edu
Paul Johnson,001-925-355-2539x23294,"8212 Robert Junctions Suite 280, North Kimberlymouth, WI 03282",male,pj114,pj114@upc.edu
Jeremy Blankenship,6614765667,"108 Drake Forks, Woodsport, MI 62295",male,jb382,jb382@upc.edu
Kenneth Cooper,854-205-2509x53048,"1432 Lynn Locks Suite 690, West Alexisberg, ME 81494",male,kc429,kc429@upc.edu
Tyler Khan,+1-453-775-0282x3807,"4615 Andrea Flat, Andreaview, PR 78008",male,tk397,tk397@upc.edu
Misty Lewis,738-887-6289,"598 Grimes Haven Suite 058, West Raven, AR 64993",female,ml303,ml303@upc.edu
Michael Hernandez,324.505.3426x0802,"7567 James Extension, South Carlos, KY 15904",male,mh249,mh249@upc.edu
Karen Jones,+1-438-245-0836,"Unit 5730 Box 9585, DPO AP 65616",female,kj606,kj606@upc.edu
Robert Baker,001-569-649-0698x801,"0807 Cowan Road Apt. 426, West Robertamouth, NV 60973",male,rb340,rb340@upc.edu
Ronald Moore,612-847-4798x5110,"109 Daniel Gateway Suite 075, South Hannahshire, AR 40082",male,rm248,rm248@upc.edu
Danny Martinez,+1-741-545-0827,"22021 Dylan Ferry, Coxport, AK 09575",male,dm275,dm275@upc.edu
Justin Fitzpatrick,+1-827-962-9154x8575,"9866 Jose Burg Apt. 049, New Charlesville, IN 90110",male,jf291,jf291@upc.edu
David Chandler,001-641-823-1759x8942,"5772 Alexander Villages Apt. 774, Suzanneberg, MD 52594",male,dc986,dc986@upc.edu
Angela Henderson,(466)408-4680x7844,"66517 William Courts Apt. 438, Brandonshire, AL 05286",female,ah874,ah874@upc.edu
Jeffrey Gonzalez,292-250-9281,"77982 Hardin Corner, New Alexandria, NJ 45671",male,jg433,jg433@upc.edu
Melinda Munoz,8393766346,"5149 Kennedy Flat Apt. 605, Jillstad, ID 15667",female,mm796,mm796@upc.edu
Robert Brown,001-567-410-9582x35857,"13874 Hull Lock Apt. 207, West Zachary, NM 93553",male,rb908,rb908@upc.edu
Evan Sullivan,(989)682-7558,"05227 Heather Cliff Suite 908, Fisherland, AZ 63677",male,es747,es747@upc.edu
Benjamin Brennan,615-624-9805,"25644 Stephen Tunnel Apt. 048, South Justin, MI 20185",male,bb420,bb420@upc.edu
Mark Mathews,4373088779,"1161 Fletcher Freeway Suite 182, Matthewchester, MA 59019",male,mm162,mm162@upc.edu
Alejandra Palmer,543.913.0344,"8284 James Port Apt. 324, West Johnburgh, MS 58300",female,ap958,ap958@upc.edu
Edward Copeland,578.546.0114x745,"PSC 9432, Box 6944, APO AE 63993",male,ec171,ec171@upc.edu
Daniel Preston,2352455509,"37479 Joseph Field Suite 989, Gordonville, CA 39034",male,dp924,dp924@upc.edu
Andrew Robbins,569.435.2793x247,"72006 Perez Rapids, Nguyenbury, NH 03775",male,ar118,ar118@upc.edu
Carla Smith,001-690-828-9249,"935 Robert Forges, New Derek, VT 01330",female,cs132,cs132@upc.edu
Ashley Santiago,2935504986,"43081 Winters Lock, Reedton, IA 21551",female,as128,as128@upc.edu
Jimmy Vargas,978-765-8945x840,"2365 Holly Prairie Suite 932, East Brooke, CO 87192",male,jv231,jv231@upc.edu
Erik Boyle,(540)920-6202x6741,"15269 Shelby Ramp, Lake Brandonfort, NY 32239",male,eb213,eb213@upc.edu
Karen Davis,+1-310-330-5023x487,"1742 Patricia Rest, Port Angel, NY 68771",female,kd854,kd854@upc.edu
Richard Smith,(622)372-8557x546,"48163 Kimberly Knolls Suite 799, North Johnborough, DE 90554",male,rs779,rs779@upc.edu
Mark Gomez,(278)683-4633x1276,"271 Jones Union, Port Lisa, PA 81458",male,mg529,mg529@upc.edu
Michael Moss,922-751-4019x159,"PSC 5733, Box 9454, APO AE 02282",male,mm406,mm406@upc.edu
David Mendoza,001-946-776-2988x93787,"Unit 4109 Box 4431, DPO AE 25420",male,dm403,dm403@upc.edu
Michael Bowen,001-297-721-3314x16391,"7558 Zachary Rapid, New Matthewberg, NM 48976",male,mb132,mb132@upc.edu
Alexander Martinez,(738)814-5352,"094 Callahan Unions Suite 475, South Gregory, MA 09633",male,am909,am909@upc.edu
Tina Johnson,9238933788,"8715 Bell Ranch Suite 191, Andrealand, KY 41135",female,tj930,tj930@upc.edu
Tina Lutz,675-781-7121,"52133 Vang Mount, West Ashley, NM 17370",female,tl307,tl307@upc.edu
Juan Shelton,+1-568-464-2433x27004,"Unit 8317 Box 9183, DPO AP 39748",male,js149,js149@upc.edu
Nicholas Taylor,001-452-328-4742,"PSC 1186, Box 0282, APO AP 12411",male,nt785,nt785@upc.edu
Karen Taylor,893.796.3073x1326,"USNV Williams, FPO AP 20640",female,kt299,kt299@upc.edu
Brandon Cox,(570)427-9305x97535,"90334 Kelly Divide, South Ashley, DE 07310",male,bc388,bc388@upc.edu
Stephen Burke,+1-854-717-4027x138,"26930 Norman Greens, East Theresatown, DC 07764",male,sb880,sb880@upc.edu
Megan Sparks,(400)689-6380,"9212 Henderson Tunnel Apt. 144, South Stacy, NC 14765",female,ms867,ms867@upc.edu
Richard Campos,+1-460-545-8106x83307,"47977 Anderson Row, Romeroton, NJ 23114",male,rc643,rc643@upc.edu
Elizabeth Clark,956-575-5259,"403 Sharon Village Apt. 894, North Joemouth, WV 63771",female,ec250,ec250@upc.edu
David Johnson,481-341-1251x950,"67490 Nathan Circles Suite 320, Port Williamton, AR 18879",male,dj757,dj757@upc.edu
Brian Fitzgerald,001-459-430-0922x41189,"3908 Reyes Mountains, South Ericaside, RI 02090",male,bf434,bf434@upc.edu
Gregory Lewis,332-516-3599x3184,"2179 Destiny Pass Suite 219, Leeville, MN 55636",male,gl841,gl841@upc.edu
Bruce Burke,904.624.1105,"537 Madeline Skyway Apt. 821, Lake Davidbury, KY 10641",male,bb219,bb219@upc.edu
Madeline Johnson,429.472.9886,"5065 Johnson Center, North Katherinechester, MP 41632",female,mj975,mj975@upc.edu
Edward Villarreal,(624)347-3734x58226,"441 Ramos Land Apt. 781, Kellytown, MN 51403",male,ev777,ev777@upc.edu
Melanie Gibbs,426-537-9275x8047,"1368 Vincent Trafficway, New Kaylaside, FM 79766",female,mg706,mg706@upc.edu
Cassandra Gonzalez,896.700.6408x69086,"491 Adkins Green, Silvaville, SD 92077",female,cg507,cg507@upc.edu
Ashley Graham,(618)809-8794,"51321 Griffith Track Apt. 039, South Anthonymouth, NJ 19040",female,ag925,ag925@upc.edu
Maria Lozano,+1-757-267-1285x750,"94079 Keith Causeway, New Patriciafort, OH 09405",female,ml989,ml989@upc.edu
Anita Hernandez,786.961.8016,"911 Lisa Ridges Suite 013, New Michael, AS 76139",female,ah259,ah259@upc.edu
Ashlee Owen,(891)922-3877x89894,"3854 Christopher Flats Apt. 784, South Kaylaland, HI 52923",female,ao117,ao117@upc.edu
Lauren Goodwin,+1-371-560-8629x610,"864 Lowe Island Suite 295, Port Regina, MN 64648",female,lg811,lg811@upc.edu
Chad Bryant,(814)660-7355x652,"USCGC Murray, FPO AE 10478",male,cb543,cb543@upc.edu
Jasmine Garcia,+1-711-219-1479,"1578 Crane Skyway, Jenkinsland, MS 13553",female,jg866,jg866@upc.edu
Brenda Jenkins,863-208-6354,"5113 Joshua Wall, Jasonberg, LA 36249",female,bj631,bj631@upc.edu
Marcus Dixon,422.310.7474x27168,"968 Michael Rapids Suite 479, East Amber, MD 13999",male,md492,md492@upc.edu
Edward Dickerson,819.857.9944x3362,"236 Danny Meadow Apt. 118, East Amandaberg, NM 02743",male,ed792,ed792@upc.edu
Richard Martin,+1-803-994-0742x6355,"USCGC Burns, FPO AP 92482",male,rm963,rm963@upc.edu
James Holt,(519)528-0628,"19490 Gardner Shores, Port Tracymouth, VA 64183",male,jh943,jh943@upc.edu
Bradley Thomas,5666875869,"557 Steven Branch Apt. 853, Sullivanside, HI 07036",male,bt741,bt741@upc.edu
Matthew Rose,274.709.4534,"4118 Eric Lock Apt. 763, Aliciashire, AR 57371",male,mr885,mr885@upc.edu
Ryan Campbell,+1-639-374-2846,"4405 Jodi Prairie Suite 176, North Stephaniefort, TX 17239",male,rc447,rc447@upc.edu
Kristy Hart,(319)286-1623x194,"750 Mason Creek Suite 436, Lake Lauren, WI 31817",female,kh634,kh634@upc.edu
Jacqueline Gonzalez,(914)705-1169,"945 Audrey Mill, East Lauratown, AK 84380",female,jg347,jg347@upc.edu
Ronnie Jackson,+1-863-331-5847x277,"426 Jefferson Loop Suite 832, Lake Kristen, MI 54416",male,rj418,rj418@upc.edu
Adam Davis,+1-472-789-5939x5179,"4955 Daniel Center Suite 686, Lake Andrewburgh, IA 91292",male,ad288,ad288@upc.edu
Ryan Tanner,649-944-8255x441,"USS Nunez, FPO AA 70558",male,rt552,rt552@upc.edu
Debbie Garcia,(439)932-0330x9572,"535 Shepherd Underpass Suite 674, Lake Jeffreychester, HI 10095",female,dg714,dg714@upc.edu
Christine Charles,(978)270-5720x145,"4265 Gardner Path, Johnside, HI 74753",female,cc594,cc594@upc.edu
Brandon Ashley,907.456.4312x7766,"7592 Laurie Hill, Terrishire, AR 42827",male,ba705,ba705@upc.edu
Taylor Thompson,438-979-6353,"423 Montgomery Pine, Lake Angelachester, PA 34763",female,tt649,tt649@upc.edu
Daniel Delgado,9909617446,"3122 Scott Brook, South Zacharybury, TX 53540",male,dd414,dd414@upc.edu
Jeffery Love,226-362-6260,"540 Autumn Drive, Jonathontown, GU 17537",male,jl571,jl571@upc.edu
Mark Jackson,634.833.1313,"522 Armstrong Trace Apt. 717, South Marissaborough, KS 15101",male,mj392,mj392@upc.edu
Shannon Lopez,663-894-4643x524,"59946 Latasha Union, Joshuaview, OR 80860",female,sl507,sl507@upc.edu
Kimberly Craig,+1-901-403-4897x11220,"2425 Sally Junctions, Port Caitlinshire, MS 61453",female,kc315,kc315@upc.edu
Edward Sampson,+1-278-369-8837x24301,"183 Joyce Pines Suite 024, Port Jeffrey, MA 78640",male,es962,es962@upc.edu
Erin Thomas,+1-666-638-4013,"417 Taylor Motorway Apt. 865, Lake Christopherstad, ID 99213",female,et426,et426@upc.edu
Janice Graham,255-574-9679,"08889 Francis Underpass, West Nicole, MA 45851",female,jg355,jg355@upc.edu
Ernest Jones,(469)574-0085,"4964 Jonathan Land Apt. 907, North Markville, MI 59898",male,ej120,ej120@upc.edu
Carolyn Deleon,(443)559-1125,"911 Beard Harbor, Port Joseph, WA 25722",female,cd366,cd366@upc.edu
Craig Meyers,218-301-2319,"65456 Robert Burg Apt. 852, Lake Sydney, DC 27360",male,cm144,cm144@upc.edu
Philip Meyers,940-497-2936,"13849 Boyd Junctions, West Deborahtown, GA 65611",male,pm172,pm172@upc.edu
Jennifer Hoover,(859)971-0398,"76353 Dominguez Springs, Walkermouth, MP 81243",female,jh618,jh618@upc.edu
Brianna Russell,7583119854,"861 Elizabeth Haven, Scottville, WV 12876",female,br563,br563@upc.edu
Courtney Sandoval,001-926-556-2190,"89173 Christina Glen, Peterbury, MH 49680",female,cs713,cs713@upc.edu
Kenneth Flores,243-813-5599x1168,"78021 Gibson Rapid, Port Toddburgh, NE 79976",male,kf731,kf731@upc.edu
James Briggs,(610)290-1014x4121,"78475 Mark Wall Apt. 551, Douglasville, CO 39193",male,jb753,jb753@upc.edu
Travis Jones,001-638-606-4422x70177,"66463 Kidd Harbors, South Calvin, OH 98726",male,tj154,tj154@upc.edu
Carla Berger,376-270-7769x52656,"844 Amy Dam Apt. 262, New Holly, KS 06774",female,cb393,cb393@upc.edu
